Date,Country,City,Specie,count,min (ppb),max (ppb),median (ppb)
2017-01-13,US,Houston,o3,114,5.0,37.0,20.0
2017-01-13,CN,Wuhan,o3,326,0.0,45.0,3.0
2017-01-13,CN,Shanghai,o3,188,1.0,38.0,18.0
2017-01-13,US,Los Angeles,o3,21,1.0,19.0,6.0
2017-01-14,CN,Shanghai,o3,216,15.0,39.0,30.0
2017-01-14,CN,Wuhan,o3,205,1.0,36.0,14.0
2017-01-14,US,Houston,o3,92,4.0,36.0,23.0
2017-01-14,US,Los Angeles,o3,15,1.0,21.0,6.0
2017-01-14,CN,Beijing,o3,448,0.0,37.0,12.0
2017-01-14,US,Jacksonville,o3,48,1.0,16.0,9.0
2017-01-14,US,Manhattan,o3,23,4.0,27.0,15.0
2017-01-15,US,Houston,o3,92,6.0,31.0,21.0
2017-01-15,US,Los Angeles,o3,24,1.0,32.0,19.0
2017-01-15,US,Jacksonville,o3,43,1.0,16.0,9.0
2017-01-15,CN,Wuhan,o3,214,1.0,28.0,14.0
2017-01-15,US,Manhattan,o3,24,10.0,28.0,18.0
2017-01-15,CN,Shanghai,o3,210,3.0,34.0,28.0
2017-01-15,CN,Beijing,o3,438,0.0,28.0,9.0
2017-01-16,CN,Shanghai,o3,214,4.0,37.0,21.0
2017-01-16,US,Jacksonville,o3,47,0.0,15.0,6.0
2017-01-16,US,Manhattan,o3,24,2.0,16.0,9.0
2017-01-16,CN,Beijing,o3,432,0.0,16.0,4.0
2017-01-16,US,Los Angeles,o3,23,1.0,37.0,10.0
2017-01-16,US,Houston,o3,95,5.0,31.0,19.0
2017-01-16,CN,Wuhan,o3,255,1.0,42.0,12.0
2017-01-17,US,Los Angeles,o3,20,1.0,30.0,7.0
2017-01-17,US,Houston,o3,117,1.0,23.0,11.0
2017-01-17,CN,Beijing,o3,407,0.0,58.0,4.0
2017-01-17,CN,Shanghai,o3,212,2.0,31.0,11.0
2017-01-17,US,Jacksonville,o3,44,0.0,17.0,4.0
2017-01-17,US,Manhattan,o3,17,1.0,15.0,2.0
2017-01-17,CN,Wuhan,o3,386,0.0,43.0,11.0
2017-01-18,CN,Wuhan,o3,367,0.0,23.0,6.0
2017-01-18,CN,Shanghai,o3,213,2.0,42.0,23.0
2017-01-18,US,Los Angeles,o3,20,1.0,31.0,14.0
2017-01-18,US,Jacksonville,o3,42,0.0,15.0,3.0
2017-01-18,CN,Beijing,o3,422,0.0,27.0,8.0
2017-01-18,US,Manhattan,o3,24,7.0,17.0,14.0
2017-01-18,US,Houston,o3,96,1.0,22.0,6.0
2017-01-19,CN,Wuhan,o3,367,0.0,47.0,18.0
2017-01-19,CN,Beijing,o3,362,1.0,42.0,23.0
2017-01-19,CN,Shanghai,o3,214,4.0,43.0,23.0
2017-01-19,US,Jacksonville,o3,46,0.0,16.0,8.0
2017-01-19,US,Houston,o3,89,1.0,19.0,7.0
2017-01-19,US,Los Angeles,o3,18,5.0,32.0,23.0
2017-01-19,US,Manhattan,o3,24,1.0,19.0,11.0
2017-01-20,US,Manhattan,o3,24,1.0,16.0,5.0
2017-01-20,US,Los Angeles,o3,24,7.0,34.0,21.0
2017-01-20,US,Houston,o3,114,1.0,36.0,17.0
2017-01-20,US,Jacksonville,o3,40,1.0,15.0,8.0
2017-01-20,CN,Shanghai,o3,216,8.0,42.0,28.0
2017-01-20,CN,Wuhan,o3,380,4.0,48.0,22.0
2017-01-20,CN,Beijing,o3,448,1.0,34.0,20.0
2017-01-21,CN,Shanghai,o3,207,1.0,42.0,23.0
2017-01-21,US,Manhattan,o3,20,1.0,6.0,3.0
2017-01-21,CN,Beijing,o3,404,1.0,44.0,23.0
2017-01-21,CN,Wuhan,o3,333,0.0,45.0,14.0
2017-01-21,US,Los Angeles,o3,24,7.0,35.0,29.0
2017-01-21,US,Houston,o3,111,1.0,37.0,15.0
2017-01-22,CN,Beijing,o3,442,1.0,33.0,12.0
2017-01-22,US,Los Angeles,o3,24,6.0,33.0,19.0
2017-01-22,CN,Wuhan,o3,324,0.0,48.0,9.0
2017-01-22,US,Manhattan,o3,14,2.0,4.0,3.0
2017-01-22,CN,Shanghai,o3,212,1.0,37.0,23.0
2017-01-22,US,Houston,o3,120,8.0,37.0,30.0
2017-01-23,US,Jacksonville,o3,46,11.0,20.0,12.0
2017-01-23,CN,Beijing,o3,398,1.0,31.0,9.0
2017-01-23,CN,Shanghai,o3,214,2.0,44.0,29.0
2017-01-23,US,Los Angeles,o3,24,1.0,37.0,30.0
2017-01-23,CN,Wuhan,o3,347,0.0,50.0,18.0
2017-01-23,US,Houston,o3,106,2.0,42.0,23.0
2017-01-23,US,Manhattan,o3,13,22.0,28.0,23.0
2017-01-24,CN,Shanghai,o3,216,3.0,50.0,32.0
2017-01-24,US,Los Angeles,o3,19,1.0,31.0,11.0
2017-01-24,CN,Beijing,o3,242,1.0,25.0,4.0
2017-01-24,US,Manhattan,o3,24,12.0,28.0,23.0
2017-01-24,US,Jacksonville,o3,44,2.0,17.0,12.0
2017-01-24,US,Houston,o3,94,2.0,45.0,28.0
2017-01-24,CN,Wuhan,o3,380,2.0,49.0,23.0
2017-01-25,US,Los Angeles,o3,16,1.0,33.0,17.0
2017-01-25,CN,Shanghai,o3,216,21.0,50.0,36.0
2017-01-25,US,Houston,o3,96,4.0,41.0,23.0
2017-01-25,US,Jacksonville,o3,46,0.0,21.0,14.0
2017-01-25,US,Manhattan,o3,24,3.0,28.0,15.0
2017-01-25,CN,Beijing,o3,294,1.0,30.0,4.0
2017-01-25,CN,Wuhan,o3,399,0.0,57.0,17.0
2017-01-26,CN,Shanghai,o3,213,5.0,57.0,34.0
2017-01-26,CN,Beijing,o3,125,1.0,32.0,2.0
2017-01-26,US,Manhattan,o3,24,2.0,25.0,12.0
2017-01-26,US,Houston,o3,87,1.0,35.0,19.0
2017-01-26,US,Jacksonville,o3,45,2.0,17.0,10.0
2017-01-26,US,Los Angeles,o3,18,1.0,30.0,4.0
2017-01-26,CN,Wuhan,o3,400,0.0,55.0,18.0
2017-01-27,US,Los Angeles,o3,19,1.0,30.0,2.0
2017-01-27,US,Jacksonville,o3,48,6.0,20.0,14.0
2017-01-27,CN,Wuhan,o3,360,0.0,43.0,25.0
2017-01-27,CN,Beijing,o3,312,1.0,49.0,21.0
2017-01-27,CN,Shanghai,o3,216,4.0,45.0,33.0
2017-01-27,US,Houston,o3,119,1.0,37.0,19.0
2017-01-27,US,Manhattan,o3,24,11.0,20.0,15.0
2017-01-28,US,Los Angeles,o3,20,1.0,29.0,2.0
2017-01-28,CN,Wuhan,o3,358,1.0,37.0,23.0
2017-01-28,US,Jacksonville,o3,48,9.0,19.0,12.0
2017-01-28,US,Houston,o3,115,1.0,39.0,25.0
2017-01-28,CN,Beijing,o3,395,1.0,55.0,3.0
2017-01-28,CN,Shanghai,o3,216,14.0,55.0,33.0
2017-01-29,CN,Wuhan,o3,389,4.0,33.0,19.0
2017-01-29,CN,Beijing,o3,410,1.0,67.0,27.0
2017-01-29,US,Los Angeles,o3,18,1.0,37.0,4.0
2017-01-29,CN,Shanghai,o3,216,2.0,51.0,29.0
2017-01-29,US,Jacksonville,o3,45,11.0,21.0,15.0
2017-01-29,US,Houston,o3,120,1.0,42.0,17.0
2017-01-30,CN,Shanghai,o3,195,18.0,39.0,33.0
2017-01-30,CN,Wuhan,o3,362,10.0,45.0,24.0
2017-01-30,US,Houston,o3,94,1.0,49.0,21.0
2017-01-30,US,Jacksonville,o3,48,5.0,19.0,17.0
2017-01-30,US,Los Angeles,o3,20,1.0,36.0,4.0
2017-01-30,US,Manhattan,o3,11,16.0,23.0,20.0
2017-01-30,CN,Beijing,o3,391,11.0,56.0,25.0
2017-01-31,CN,Wuhan,o3,377,5.0,30.0,20.0
2017-01-31,US,Jacksonville,o3,48,1.0,23.0,17.0
2017-01-31,US,Los Angeles,o3,20,1.0,32.0,2.0
2017-01-31,CN,Beijing,o3,395,1.0,63.0,18.0
2017-01-31,US,Houston,o3,119,1.0,50.0,29.0
2017-01-31,CN,Shanghai,o3,213,21.0,39.0,34.0
2017-01-31,US,Manhattan,o3,13,2.0,23.0,15.0
2017-02-01,US,Los Angeles,o3,20,1.0,36.0,17.0
2017-02-01,CN,Shanghai,o3,214,24.0,46.0,34.0
2017-02-01,US,Jacksonville,o3,48,1.0,22.0,15.0
2017-02-01,US,Houston,o3,120,2.0,42.0,23.0
2017-02-01,US,Manhattan,o3,19,12.0,23.0,21.0
2017-02-01,CN,Beijing,o3,388,1.0,42.0,23.0
2017-02-01,CN,Wuhan,o3,385,2.0,31.0,16.0
2017-02-02,CN,Beijing,o3,396,1.0,69.0,8.0
2017-02-02,US,Houston,o3,117,2.0,36.0,21.0
2017-02-02,US,Los Angeles,o3,24,1.0,25.0,14.0
2017-02-02,US,Jacksonville,o3,42,0.0,19.0,5.0
2017-02-02,CN,Shanghai,o3,214,11.0,44.0,35.0
2017-02-02,CN,Wuhan,o3,396,1.0,27.0,14.0
2017-02-02,US,Manhattan,o3,23,5.0,28.0,22.0
2017-02-03,CN,Wuhan,o3,365,0.0,22.0,6.0
2017-02-03,CN,Beijing,o3,394,1.0,47.0,6.0
2017-02-03,US,Houston,o3,120,9.0,32.0,19.0
2017-02-03,US,Jacksonville,o3,48,0.0,19.0,6.0
2017-02-03,US,Los Angeles,o3,24,1.0,21.0,3.0
2017-02-03,US,Manhattan,o3,24,19.0,28.0,24.0
2017-02-03,CN,Shanghai,o3,216,3.0,33.0,20.0
2017-02-04,US,Los Angeles,o3,21,1.0,32.0,27.0
2017-02-04,CN,Beijing,o3,379,1.0,57.0,9.0
2017-02-04,CN,Shanghai,o3,193,0.0,20.0,4.0
2017-02-04,US,Houston,o3,113,7.0,28.0,20.0
2017-02-04,CN,Wuhan,o3,342,0.0,28.0,6.0
2017-02-04,US,Jacksonville,o3,44,5.0,19.0,15.0
2017-02-04,US,Manhattan,o3,18,12.0,28.0,23.0
2017-02-05,US,Manhattan,o3,24,10.0,25.0,17.0
2017-02-05,US,Houston,o3,120,15.0,32.0,22.0
2017-02-05,US,Jacksonville,o3,48,6.0,19.0,14.0
2017-02-05,CN,Shanghai,o3,197,0.0,32.0,15.0
2017-02-05,CN,Wuhan,o3,374,0.0,27.0,11.0
2017-02-05,CN,Beijing,o3,435,1.0,52.0,24.0
2017-02-05,US,Los Angeles,o3,24,1.0,24.0,15.0
2017-02-06,CN,Shanghai,o3,211,3.0,46.0,36.0
2017-02-06,US,Jacksonville,o3,48,0.0,21.0,7.0
2017-02-06,US,Houston,o3,119,6.0,29.0,22.0
2017-02-06,US,Manhattan,o3,21,2.0,28.0,24.0
2017-02-06,CN,Beijing,o3,378,1.0,45.0,23.0
2017-02-06,CN,Wuhan,o3,326,0.0,42.0,9.0
2017-02-06,US,Los Angeles,o3,24,2.0,23.0,17.0
2017-02-07,US,Jacksonville,o3,47,0.0,20.0,11.0
2017-02-07,CN,Shanghai,o3,212,9.0,45.0,34.0
2017-02-07,US,Manhattan,o3,12,2.0,10.0,10.0
2017-02-07,US,Los Angeles,o3,24,1.0,20.0,7.0
2017-02-07,US,Houston,o3,119,2.0,38.0,20.0
2017-02-07,CN,Wuhan,o3,388,5.0,47.0,19.0
2017-02-07,CN,Beijing,o3,250,1.0,41.0,8.0
2017-02-08,CN,Wuhan,o3,373,14.0,38.0,25.0
2017-02-08,US,Los Angeles,o3,24,1.0,15.0,7.0
2017-02-08,CN,Beijing,o3,330,1.0,54.0,28.0
2017-02-08,US,Manhattan,o3,10,8.0,19.0,11.0
2017-02-08,CN,Shanghai,o3,197,18.0,38.0,31.0
2017-02-08,US,Jacksonville,o3,47,6.0,18.0,12.0
2017-02-08,US,Houston,o3,113,5.0,46.0,22.0
2017-02-09,CN,Wuhan,o3,391,0.0,49.0,21.0
2017-02-09,US,Jacksonville,o3,46,6.0,19.0,17.0
2017-02-09,US,Houston,o3,120,3.0,45.0,25.0
2017-02-09,US,Los Angeles,o3,16,0.0,32.0,4.0
2017-02-09,US,Manhattan,o3,18,20.0,31.0,23.0
2017-02-09,CN,Shanghai,o3,216,9.0,47.0,28.0
2017-02-09,CN,Beijing,o3,220,17.0,48.0,32.0
2017-02-10,US,Manhattan,o3,20,9.0,29.0,22.0
2017-02-10,US,Houston,o3,118,1.0,41.0,22.0
2017-02-10,US,Jacksonville,o3,46,0.0,21.0,15.0
2017-02-10,CN,Shanghai,o3,216,7.0,45.0,27.0
2017-02-10,CN,Beijing,o3,444,4.0,127.0,30.0
2017-02-10,CN,Wuhan,o3,392,0.0,51.0,21.0
2017-02-10,US,Los Angeles,o3,13,1.0,3.0,2.0
2017-02-11,US,Manhattan,o3,21,1.0,15.0,8.0
2017-02-11,CN,Wuhan,o3,370,0.0,50.0,20.0
2017-02-11,US,Jacksonville,o3,46,0.0,24.0,14.0
2017-02-11,CN,Shanghai,o3,215,3.0,44.0,19.0
2017-02-11,CN,Beijing,o3,439,1.0,47.0,15.0
2017-02-11,US,Los Angeles,o3,23,1.0,31.0,23.0
2017-02-11,US,Houston,o3,110,6.0,25.0,16.0
2017-02-12,US,Los Angeles,o3,22,1.0,34.0,8.0
2017-02-12,US,Houston,o3,115,6.0,34.0,19.0
2017-02-12,CN,Beijing,o3,408,1.0,57.0,5.0
2017-02-12,CN,Shanghai,o3,200,2.0,54.0,27.0
2017-02-12,US,Jacksonville,o3,46,4.0,17.0,12.0
2017-02-12,CN,Wuhan,o3,359,0.0,59.0,14.0
2017-02-12,US,Manhattan,o3,24,6.0,24.0,14.0
2017-02-13,CN,Beijing,o3,401,1.0,43.0,8.0
2017-02-13,CN,Shanghai,o3,216,4.0,57.0,29.0
2017-02-13,US,Houston,o3,118,1.0,31.0,18.0
2017-02-13,US,Jacksonville,o3,46,5.0,23.0,14.0
2017-02-13,US,Los Angeles,o3,22,1.0,31.0,2.0
2017-02-13,CN,Wuhan,o3,381,0.0,55.0,15.0
2017-02-13,US,Manhattan,o3,17,22.0,29.0,25.0
