Date,Country,City,Specie,count,min (ug/m3),max (ug/m3),median (ug/m3)
2017-01-11,CN,Beijing,pm25,429,2.1,379.2,84.5
2017-01-11,US,Los Angeles,pm25,65,0.2,23.5,9.1
2017-01-11,US,Jacksonville,pm25,94,1.2,17.3,3.6
2017-01-11,US,Manhattan,pm25,72,4.0,20.1,13.0
2017-01-11,CN,Shanghai,pm25,216,7.2,69.0,30.1
2017-01-12,US,Jacksonville,pm25,114,0.2,22.5,3.1
2017-01-12,CN,Shanghai,pm25,210,2.1,94.2,52.1
2017-01-12,CN,Beijing,pm25,420,6.0,382.2,35.9
2017-01-12,US,Houston,pm25,72,4.3,19.7,7.9
2017-01-12,US,Manhattan,pm25,72,4.3,20.6,12.1
2017-01-12,IN,New Delhi,pm25,23,69.0,400.4,244.3
2017-01-12,CN,Wuhan,pm25,378,52.9,136.8,92.2
2017-01-12,US,Los Angeles,pm25,70,0.2,17.3,6.2
2017-01-13,US,Houston,pm25,73,0.2,12.1,6.2
2017-01-13,CN,Wuhan,pm25,350,10.0,168.6,78.7
2017-01-13,IN,New Delhi,pm25,24,63.2,451.9,239.3
2017-01-13,US,Manhattan,pm25,72,4.5,23.0,9.1
2017-01-13,CN,Beijing,pm25,451,2.1,140.7,14.0
2017-01-13,US,Los Angeles,pm25,72,5.5,32.5,13.0
2017-01-13,CN,Shanghai,pm25,215,61.3,146.5,96.1
2017-01-13,US,Jacksonville,pm25,109,0.4,16.3,4.0
2017-01-14,US,Los Angeles,pm25,70,3.6,38.7,19.2
2017-01-14,CN,Wuhan,pm25,211,42.8,132.9,67.1
2017-01-14,CN,Beijing,pm25,451,3.1,63.2,21.1
2017-01-14,US,Jacksonville,pm25,93,1.2,20.6,5.2
2017-01-14,US,Manhattan,pm25,72,3.1,16.8,8.8
2017-01-14,IN,New Delhi,pm25,24,127.1,566.9816108597288,246.3
2017-01-14,CN,Shanghai,pm25,216,2.1,92.2,17.8
2017-01-14,US,Houston,pm25,71,1.9,13.0,5.2
2017-01-15,CN,Shanghai,pm25,204,1.2,35.9,12.0
2017-01-15,IN,New Delhi,pm25,24,69.0,284.8,185.8
2017-01-15,CN,Beijing,pm25,453,18.7,119.4,48.9
2017-01-15,US,Houston,pm25,75,0.2,11.5,5.0
2017-01-15,US,Jacksonville,pm25,91,1.2,26.3,6.4
2017-01-15,US,Manhattan,pm25,72,4.5,16.3,11.7
2017-01-15,US,Los Angeles,pm25,70,1.4,32.5,12.0
2017-01-15,CN,Wuhan,pm25,216,16.8,80.6,48.9
2017-01-16,US,Houston,pm25,81,0.2,17.8,6.9
2017-01-16,IN,New Delhi,pm25,23,84.5,231.2,159.5
2017-01-16,US,Manhattan,pm25,72,9.6,20.6,14.4
2017-01-16,CN,Wuhan,pm25,254,39.9,1006.1072217194572,67.1
2017-01-16,US,Jacksonville,pm25,90,0.4,16.8,2.8
2017-01-16,US,Los Angeles,pm25,72,3.6,23.0,13.0
2017-01-16,CN,Beijing,pm25,450,3.1,158.5,96.1
2017-01-16,CN,Shanghai,pm25,216,7.2,32.0,16.8
2017-01-17,IN,New Delhi,pm25,23,78.7,241.3,123.2
2017-01-17,CN,Wuhan,pm25,392,41.9,115.5,63.2
2017-01-17,US,Houston,pm25,68,0.2,12.0,3.8
2017-01-17,CN,Beijing,pm25,435,3.1,308.0,148.4
2017-01-17,CN,Shanghai,pm25,213,14.0,72.9,40.7
2017-01-17,US,Jacksonville,pm25,94,1.2,13.5,4.5
2017-01-17,US,Manhattan,pm25,72,6.4,30.6,17.3
2017-01-17,US,Los Angeles,pm25,69,3.8,37.1,17.3
2017-01-18,US,Los Angeles,pm25,72,0.4,47.2,14.0
2017-01-18,US,Houston,pm25,63,0.2,13.0,4.0
2017-01-18,IN,New Delhi,pm25,22,88.4,386.8,150.4
2017-01-18,CN,Wuhan,pm25,386,26.8,132.9,88.4
